Driver,LapTime,Distance,Speed,GapTime
LEC,01:34.090,2242.1147222222226,84,0.6821744186046814
LEC,01:34.090,2247.0036111111117,88,0.6871935483871212
LEC,01:34.090,2251.181388888889,94,0.685473118279603
LEC,01:34.090,2256.681388888889,99,0.6921559633027812
LEC,01:34.090,2263.681388888889,105,0.7009633027523208
LEC,01:34.090,2297.514722222222,145,0.5952222222222474
LEC,01:34.090,2306.1258333333335,155,0.6022407407407613
LEC,01:34.090,2315.2369444444444,164,0.6057117647059016
LEC,01:34.090,2326.7702777777777,173,0.6149615384615643
LEC,01:34.090,2341.081388888889,184,0.6151989247312102
LEC,01:34.090,2353.881388888889,192,0.6196275510204288
LEC,01:34.090,2364.8258333333333,197,0.6241732673267464
LEC,01:34.090,2378.6833333333334,207,0.6261926605504655
LEC,01:34.090,2395.1722222222224,212,0.6338990825688171
LEC,01:34.090,2404.816666666667,217,0.6351061946902732
LEC,01:34.090,2435.4194444444447,230,0.6336982758620806
LEC,01:34.090,2459.1194444444445,237,0.6337613168724374
LEC,01:34.090,2480.7194444444444,243,0.6348145161290404
LEC,01:34.090,2502.4972222222223,245,0.6386854838709723
LEC,01:34.090,2524.7194444444444,250,0.6385725490196137
LEC,01:34.090,2538.663888888889,251,0.6417098039215716
LEC,01:34.090,2555.1305555555555,247,0.6369416666666652
LEC,01:34.090,2573.4083333333333,235,0.6384128440367007
LEC,01:34.090,2595.963888888889,203,0.6523422459893027
LEC,01:34.090,2610.041666666667,181,0.661326203208553
LEC,01:34.090,2624.263888888889,160,0.664923076923067
LEC,01:34.090,2633.863888888889,144,0.6601746031745961
LEC,01:34.090,2639.9972222222223,138,0.6449365079364995
LEC,01:34.090,2653.552777777778,122,0.6125981308410928
LEC,01:34.090,2660.2861111111115,101,0.6014505494505116
LEC,01:34.090,2667.3638888888895,91,0.5986516853932144
LEC,01:34.090,2672.252777777778,88,0.5936341463414294
LEC,01:34.090,2680.252777777778,80,0.5865974025973699
LEC,01:34.090,2685.252777777778,75,0.5900263157894372
LEC,01:34.090,2689.3638888888895,74,0.5917567567567161
LEC,01:34.090,2695.873055555556,73,0.6094430379746498
LEC,01:34.090,2701.7841666666673,76,0.621912499999965
LEC,01:34.090,2705.2063888888893,77,0.6358850574712349
LEC,01:34.090,2711.638888888889,83,0.659802083333318
LEC,01:34.090,2721.138888888889,95,0.6806634615384439
LEC,01:34.090,2729.5833333333335,95,0.7210446428571302
LEC,01:34.090,2735.9722222222226,115,0.73697656249999
LEC,01:34.090,2742.8611111111113,124,0.7606045197740059
LEC,01:34.090,2748.55,128,0.8048983050847411
LEC,01:34.090,2758.15,144,0.8496440677966035
LEC,01:34.090,2767.75,144,0.894389830508473
LEC,01:34.090,2786.972222222222,173,0.9034293785310652
LEC,01:34.090,2799.3055555555557,185,0.9048624338624265
LEC,01:34.090,2818.9055555555556,196,0.9160731707316998
LEC,01:34.090,2868.0166666666664,221,0.8845999999999918
LEC,01:34.090,2883.0166666666664,225,0.8877532467532419
